City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
306,freetown,8.484,-13.2299,27.77,85,73,2.52,SL,1715035525
307,chuzhou,32.3219,118.2978,17.68,78,20,1.56,CN,1715035526
308,tanggu,39.0211,117.6469,15.98,36,86,4.34,CN,1715035526
309,colares,38.7992,-9.4469,14.86,83,2,5.36,PT,1715035526
310,chui,-33.6971,-53.4616,19.42,99,100,2.55,UY,1715035526
311,severo-yeniseyskiy,60.3725,93.0408,-0.24,88,82,4.92,RU,1715035526
312,saurimo,-9.6608,20.3916,18.67,64,50,0.68,AO,1715035526
313,borujen,31.9652,51.2873,11.18,68,38,5.25,IR,1715035526
314,sabang,5.8933,95.3214,29.27,75,96,4.35,ID,1715035526
315,sakhipur,24.3,90.1833,21.49,87,93,2.43,BD,1715035526
316,kuching,1.55,110.3333,28.34,100,40,0.51,MY,1715035434
317,valle de la pascua,9.2155,-66.0073,32.96,41,100,2.01,VE,1715035527
318,umm kaddadah,13.6017,26.6876,28.03,15,0,6.94,SD,1715035527
319,lincoln city,44.9582,-124.0179,12.61,88,94,4.02,US,1715035527
320,libertad,8.9442,125.5019,25.71,73,96,1.67,PH,1715035527
321,huainan,32.6264,116.9969,18.62,71,15,1.28,CN,1715035527
322,westport,41.1415,-73.3579,23.16,81,40,3.09,US,1715035301
323,villa de cos,23.2833,-102.35,31.33,11,51,11.03,MX,1715035527
324,betio village,1.358,172.9211,28.96,75,10,5.71,KI,1715035528
325,tazacorte,28.629,-17.9293,21.75,73,0,4.63,ES,1715035528
326,miahuatlan,18.5667,-97.4333,21.0,51,88,4.06,MX,1715035528
327,nar'yan-mar,67.6713,53.087,-10.5,91,81,4.02,RU,1715035528
328,kidal,18.4411,1.4078,34.25,9,95,5.05,ML,1715035412
329,banjarmasin,-3.3244,114.591,25.08,93,58,0.52,ID,1715035502
330,mount gambier,-37.8333,140.7667,10.81,85,13,2.25,AU,1715035528
331,san rafael del yuma,18.4299,-68.6739,27.76,85,32,3.73,DO,1715035529
332,hithadhoo,-0.6,73.0833,29.28,73,100,3.27,MV,1715035529
333,igarka,67.4667,86.5833,-7.29,93,100,5.85,RU,1715035529
334,codrington,-38.2667,141.9667,11.03,86,4,2.36,AU,1715035529
335,wakkanai,45.4094,141.6739,2.31,96,100,15.37,JP,1715035529
336,la foa,-21.7108,165.8276,23.23,60,0,2.85,NC,1715035529
337,dursunbey,39.586,28.6257,8.08,58,0,0.76,TR,1715035529
338,pacific grove,36.6177,-121.9166,20.21,67,0,6.17,US,1715035530
339,peace river,56.2501,-117.286,18.17,39,100,1.54,CA,1715035338
340,prado,-17.3411,-39.2208,24.99,87,3,3.39,BR,1715035530
341,buta,2.7858,24.73,25.47,63,47,1.26,CD,1715035530
342,ust'-kulom,61.6864,53.6902,-1.58,93,100,4.38,RU,1715035530
343,margate,51.3813,1.3862,11.84,94,71,2.7,GB,1715035530
344,severodvinsk,64.5635,39.8302,-2.15,68,100,0.6,RU,1715035530
345,dubbo,-32.25,148.6167,12.07,76,0,5.66,AU,1715035276
346,nurota,40.5614,65.6886,20.82,42,81,3.47,UZ,1715035530
347,santana,-0.0583,-51.1817,28.1,89,75,1.54,BR,1715035290
348,port alfred,-33.5906,26.891,19.31,86,0,1.76,ZA,1715035531
349,baotou,40.6522,109.8222,16.29,23,5,2.71,CN,1715035531
350,lata,40.1629,-8.3327,7.29,97,11,0.92,PT,1715035531
351,kavaratti,10.5669,72.642,30.25,68,77,3.46,IN,1715035531
352,watsa,3.0372,29.5355,20.0,77,77,1.38,CD,1715035415
353,bikenibeu village,1.3673,173.1241,28.94,75,10,5.53,KI,1715035387
354,kuqa,41.7278,82.9364,22.83,27,97,3.92,CN,1715035531
355,san patricio,28.017,-97.5169,29.92,70,39,7.42,US,1715035532
356,courthezon,44.0873,4.8838,13.08,94,75,0.0,FR,1715035532
357,luis correia,-2.8792,-41.6669,29.0,84,20,2.06,BR,1715035532
358,kashgar,39.4547,75.9797,17.56,48,40,5.0,CN,1715035532
359,mazamari,-11.3258,-74.5308,26.24,72,59,0.17,PE,1715035532
360,gisborne,-38.6533,178.0042,12.28,76,100,6.02,NZ,1715035364
361,richards bay,-28.783,32.0377,19.76,76,0,4.19,ZA,1715035532
362,franklin,39.9667,-83.0166,21.35,91,75,3.6,US,1715035400
363,priyutovo,53.9,53.9333,1.92,93,10,2.24,RU,1715035533
